Name,Position,GS,GS/GP,GP,Total Mins,Total Points,MPG,PPG,FG %,Salaries
Dean Wade,PF,28,0.549019608,51,979.2,270,19.2,5.3,45.6,1782621
Coby White,PG,16,0.31372549,51,1417.8,673,27.8,13.2,44.5,5837760
Lou Williams,SG,0,0,51,734.4,331,14.4,6.5,39.9,5000000
Tony Bradley,C,7,0.14,50,520,145,10.4,2.9,57.7,1669178
Brandon Ingram,SF,50,1,50,1710,1140,34.2,22.8,46.2,29467800
Isaiah Joe,SG,1,0.02,50,560,175,11.2,3.5,34.6,1517981
Cameron Payne,PG,10,0.2,50,1120,560,22.4,11.2,40.8,6500000
Omer Yurtseven,C,11,0.22,50,630,280,12.6,5.6,54,1489065
Brandon Boston Jr.,SG,0,0,49,705.6,318,14.4,6.5,37.3,925258
Jimmy Butler,SF,49,1,49,1651.3,1043,33.7,21.3,46.9,36016200
Serge Ibaka,PF,11,0.224489796,49,798.7,328,16.3,6.7,48.5,9720900
Cam Reddish,SF,7,0.142857143,49,1014.3,494,20.7,10.1,40.4,4670160
Tony Snell,SF,12,0.244897959,49,774.2,166,15.8,3.4,39.2,1669178
Kenrich Williams,SG,0,0,49,1073.1,362,21.9,7.4,46.1,2000000
Davis Bertans,SF,0,0,48,691.2,259,14.4,5.4,33.9,16000000
Armoni Brooks,PG,9,0.1875,48,758.4,268,15.8,5.6,34.3,1489065
Rudy Gay,SF,1,0.020833333,48,912,393,19,8.2,41,5890000
Gordon Hayward,SF,48,1,48,1545.6,772,32.2,16.1,46,29925000
Ty Jerome,SG,4,0.083333333,48,801.6,340,16.7,7.1,37.8,2412840
Caris LeVert,SG,40,0.833333333,48,1459.2,840,30.4,17.5,44.1,17500000
Bam Adebayo,C,47,1,47,1546.3,893,32.9,19,54.7,28103500
Sterling Brown,SG,3,0.063829787,47,596.9,155,12.7,3.3,38.1,3000000
CJ Elleby,SF,17,0.361702128,47,855.4,249,18.2,5.3,40.7,1517981
Maurice Harkless,SF,24,0.510638298,47,864.8,216,18.4,4.6,45.9,4347600
Rodney Hood,SF,0,0,47,653.3,145,13.9,3.1,35.6,1669178
Damian Jones,C,6,0.127659574,47,747.3,300,15.9,6.4,62.9,1977011
Jeremy Lamb,SG,0,0,47,775.5,343,16.5,7.3,37.2,10500000
Marcus Morris,PF,47,1,47,1377.1,752,29.3,16,44.1,15627907
Justise Winslow,SF,10,0.212765957,47,766.1,272,16.3,5.8,43.7,3902439
Khem Birch,C,21,0.456521739,46,860.2,216,18.7,4.7,47.7,6350000
Jock Landale,C,1,0.02173913,46,492.2,230,10.7,5,51.4,925258
Elfrid Payton,PG,1,0.02173913,46,515.2,138,11.2,3,38.4,1669178
Nick Richards,C,5,0.108695652,46,354.2,142,7.7,3.1,67.1,1517981
Jalen Suggs,SG,43,0.934782609,46,1274.2,556,27.7,12.1,36.1,6593040
Tristan Thompson,C,5,0.108695652,46,726.8,285,15.8,6.2,52.5,1000000
LaMarcus Aldridge,C,12,0.266666667,45,1026,607,22.8,13.5,55.4,1669178
D.J. Augustin,PG,2,0.044444444,45,697.5,251,15.5,5.6,43.7,393312
Kevin Durant,PF,45,1,45,1647,1332,36.6,29.6,52.6,42018900
Jerami Grant,PF,45,1,45,1471.5,877,32.7,19.5,42.4,20002500
Richaun Holmes,C,37,0.822222222,45,1075.5,468,23.9,10.4,66,10384500
Joe Ingles,SG,15,0.333333333,45,1120.5,324,24.9,7.2,40.4,13036364
Josh Jackson,SF,3,0.066666667,45,724.5,279,16.1,6.2,40,5005350
Derrick Jones Jr.,SF,8,0.177777778,45,801,251,17.8,5.6,54.4,9720900
Romeo Langford,SG,5,0.111111111,45,742.5,216,16.5,4.8,43.6,3804360
Theo Maledon,PG,2,0.044444444,45,706.5,238,15.7,5.3,33.2,2000000
Naji Marshall,SF,3,0.066666667,45,576,247,12.8,5.5,40.5,1517981
Jalen McDaniels,PF,2,0.044444444,45,760.5,274,16.9,6.1,46.8,1782621
Moses Moody,SG,9,0.2,45,531,198,11.8,4.4,43.1,3562200
Aaron Nesmith,SF,2,0.044444444,45,472.5,153,10.5,3.4,36.6,3631200
David Nwaba,SF,4,0.088888889,45,594,229,13.2,5.1,48.3,4650000
Jalen Smith,C,7,0.155555556,45,778.5,391,17.3,8.7,51.4,4458000
Xavier Tillman,PF,0,0,45,540,193,12,4.3,46.6,1517981
Trendon Watford,PF,7,0.155555556,45,783,319,17.4,7.1,52.8,436482
Jose Alvarado,PG,1,0.022727273,44,646.8,246,14.7,5.6,42.4,1500000
Taj Gibson,C,4,0.090909091,44,787.6,176,17.9,4,53.9,4910000
George Hill,PG,16,0.363636364,44,1078,294,24.5,6.7,43.5,4000000
Jeremiah Robinson-Earl,C,36,0.818181818,44,1012,312,23,7.1,40.1,2000000
Tomas Satoransky,SG,3,0.068181818,44,660,145,15,3.3,35.5,10000000
Aaron Wiggins,SF,30,0.681818182,44,1034,334,23.5,7.6,46.1,1000000
Goga Bitadze,C,10,0.227272727,44,567.6,264,12.9,6,51.5,3098400
Frank Jackson,PG,5,0.113636364,44,981.2,470,22.3,10.7,40.9,3000000
Rodney McGruder,SG,2,0.045454545,44,611.6,211,13.9,4.8,43.6,1669178
Shake Milton,SG,6,0.136363636,44,950.4,360,21.6,8.2,41.9,1846738
Marvin Bagley III,PF,22,0.511627907,43,1001.9,455,23.3,10.6,49.2,11312114
Willy Hernangomez,C,6,0.139534884,43,705.2,391,16.4,9.1,53.8,2327220
De'Andre Hunter,SF,42,0.976744186,43,1285.7,580,29.9,13.5,44.9,7775400
Timothe Luwawu-Cabarrot,SF,12,0.279069767,43,494.5,167,11.5,3.9,39.4,1669178
Mike Muscala,PF,0,0,43,593.4,344,13.8,8,45.6,3365385
Norman Powell,SF,41,0.953488372,43,1414.7,808,32.9,18.8,45.7,15517241
Thanasis Antetokounmpo,PF,5,0.119047619,42,390.6,121,9.3,2.9,52,1669178
OG Anunoby,SF,42,1,42,1541.4,735,36.7,17.5,43.6,16071429
Tim Hardaway Jr.,SG,20,0.476190476,42,1243.2,596,29.6,14.2,39.4,21308816
Nassir Little,SF,23,0.547619048,42,1087.8,411,25.9,9.8,46,2316240
Josh Okogie,SF,6,0.142857143,42,457.8,105,10.9,2.5,36.4,4087904
Kristaps Porzingis,PF,42,1,42,1213.8,819,28.9,19.5,45.6,31650600
Myles Turner,C,42,1,42,1234.8,541,29.4,12.9,50.9,18000000
Dylan Windler,SG,0,0,42,378,96,9,2.3,39.8,2239200
Thaddeus Young,PF,1,0.023809524,42,651,247,15.5,5.9,52.4,14190000
Gorgui Dieng,C,3,0.073170732,41,356.7,147,8.7,3.6,48.6,4000000
Quentin Grimes,SG,6,0.146341463,41,729.8,258,17.8,6.3,41.4,2168760
Bradley Beal,SG,40,1,40,1440,928,36,23.2,45.1,33724200
Wayne Ellington,SG,9,0.225,40,744,252,18.6,6.3,40.8,1669178
Malachi Flynn,PG,5,0.125,40,480,172,12,4.3,40.7,2048040
DeAndre Jordan,C,19,0.475,40,520,160,13,4,61.9,374126
Wesley Matthews,SG,6,0.15,40,784,192,19.6,4.8,38.4,1237494
Zeke Nnaji,PF,1,0.025,40,672,264,16.8,6.6,53.7,2498760
Joshua Primo,SF,6,0.15,40,704,208,17.6,5.2,36.9,3946800
Matt Thomas,SG,0,0,40,460,160,11.5,4,41,1669178
